time,station,pm25,lat,lon,pm25_3km,tmp,rh,hpbl,wspd,pop,road_den_1km,prim_road_len_1km,near_dist,bareland,builtup,cropland,grassland,treecover,water,ndvi,aod
2018-03-01,201,15.17391304,10.783057,106.700606,16.11000061,26.22489534,82.9700603,462.3820367,3.407463548,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-02,201,20.91666667,10.783057,106.700606,14.73999977,26.27289335,83.84469272,508.4296434,2.756212776,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.904245853
2018-03-03,201,20.91666667,10.783057,106.700606,17.06999969,25.78810004,85.56644004,501.2144117,3.21959388,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-04,201,22.66666667,10.783057,106.700606,19.12999916,25.83931237,82.10373441,468.3435375,2.188778921,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.438129067
2018-03-05,201,22.7826087,10.783057,106.700606,15.22000027,26.47665949,81.93726086,515.6561398,2.809467676,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-06,201,23.375,10.783057,106.700606,22.20999908,25.99068027,79.86344518,537.5122232,2.817295396,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-07,201,32.29166667,10.783057,106.700606,28.20000076,26.52634148,74.33078363,678.8227654,2.843696999,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.451354086
2018-03-08,201,30.20833333,10.783057,106.700606,23.37000084,26.37376988,78.28423546,599.4931852,2.603797794,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.284920782
2018-03-09,201,38.33333333,10.783057,106.700606,19.29999924,26.69040405,69.03246352,472.7595252,2.176557883,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.898052573
2018-03-10,201,42.70833333,10.783057,106.700606,20.75,25.96780788,64.79615988,522.6795715,2.061765917,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-11,201,36.91666667,10.783057,106.700606,31.29999924,26.21992097,64.30288345,630.9453422,2.186995466,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-12,201,50.82608696,10.783057,106.700606,38.54999924,26.34608332,67.24041036,565.1372921,2.241285886,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-13,201,28.54166667,10.783057,106.700606,32.04999924,26.4684065,69.62236475,669.126986,2.503754815,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-14,201,14.0,10.783057,106.700606,22.14999962,26.16354673,76.75308424,542.6270544,3.581863447,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-15,201,15.56521739,10.783057,106.700606,19.95000076,25.87146669,83.69727113,452.6503301,2.974450895,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-16,201,14.86363636,10.783057,106.700606,22.34000015,25.82903554,84.35314876,519.4493426,3.647545435,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-17,201,18.39130435,10.783057,106.700606,21.78000069,26.26311677,79.83296655,683.8665665,3.880082096,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.924706221
2018-03-18,201,20.26086957,10.783057,106.700606,19.44000053,25.98514883,80.95471819,621.2366186,3.260669358,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-19,201,21.36363636,10.783057,106.700606,21.25,26.47553201,79.83850275,634.1437408,2.646060448,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.802463412
2018-03-20,201,19.875,10.783057,106.700606,16.29000092,26.67628429,79.86789317,573.4165066,2.501061197,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-21,201,26.86956522,10.783057,106.700606,19.85000038,26.42969698,77.02377588,504.4263686,2.68472014,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.562779188
2018-03-22,201,40.90909091,10.783057,106.700606,23.47999954,26.41177433,72.83746887,645.200918,3.335123638,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-23,201,39.25,10.783057,106.700606,30.57999992,25.8805896,65.53756337,627.2755954,2.462906663,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.965505362
2018-03-24,201,39.41666667,10.783057,106.700606,25.02000046,25.92418556,63.59511349,614.3976824,2.460879708,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.224551111
2018-03-25,201,26.58333333,10.783057,106.700606,26.04000092,26.48603059,72.42390914,670.9172576,3.106728982,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-26,201,32.625,10.783057,106.700606,32.79000092,26.7864689,73.318147,636.361423,3.403083251,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-27,201,38.13043478,10.783057,106.700606,26.77000046,26.50503298,72.45343651,648.8136722,2.605587304,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-28,201,38.54166667,10.783057,106.700606,20.79000092,26.1555766,72.69357466,701.0886104,3.499792675,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-03-29,201,26.5,10.783057,106.700606,24.39999962,26.08577852,76.89097014,674.4932623,3.348085542,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,2.383875608
2018-03-30,201,31.95833333,10.783057,106.700606,26.97999954,25.62523442,81.12506227,355.4460227,3.440450148,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.180620432
2018-03-31,201,33.30434783,10.783057,106.700606,22.62000084,25.93859007,73.64517774,583.6670069,4.012404624,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-01,201,31.58333333,10.783057,106.700606,18.67000008,26.39399765,70.81884608,717.4198457,2.782774626,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-02,201,29.91666667,10.783057,106.700606,18.32999992,26.0458188,65.98803892,615.5024881,3.146780608,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,3.098710537
2018-04-03,201,23.66666667,10.783057,106.700606,16.12000084,25.7988749,73.49683648,711.429144,2.892936242,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-04,201,19.875,10.783057,106.700606,16.90999985,25.92120691,78.72554817,593.5939639,4.052120731,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.133113503
2018-04-05,201,19.25,10.783057,106.700606,18.56999969,26.01320562,81.12173981,556.760648,4.559813295,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.086157441
2018-04-06,201,21.60869565,10.783057,106.700606,14.93000031,25.84367222,80.47987603,556.0734271,3.306492399,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-07,201,24.66666667,10.783057,106.700606,22.60000038,26.75961339,72.81072691,732.3878749,2.148568527,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.178948164
2018-04-08,201,34.04166667,10.783057,106.700606,33.36000061,26.93907762,67.52848165,509.9171783,2.063346127,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-09,201,40.375,10.783057,106.700606,27.06999969,27.48308705,65.07253269,662.4492564,2.610677208,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.186426267
